,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
0,2010-12-31,1765304139,1765304139,1,17220000000,2222000000,18875000000,3871000000,-1655000000,0,0,947000000,10858000000,2899000000,-161000000,-161000000,-0.09,-0.09,0.08,803000000,-398000000,-2000000000,-1595000000,372000000,398000000,6.99,7.73,6.24,None,-0.003,-0.94,None,58.25,4.35,None,None,None,None,0.63,0.23,0.574,Q
1,2010-09-30,1742716118,1742716118,1,18959000000,4085000000,20384000000,5248000000,-1425000000,0,0,923000000,10788000000,2935000000,-90000000,-89000000,-0.05,-0.05,0.08,923000000,289000000,-363000000,849000000,1967000000,373000000,5.77,6.37,5.16,None,0.011,-0.82,None,23.08,4.27,2.6097,None,None,0.018,0.61,0.32,0.7784,Q
2,2010-06-30,1739265497,1739265497,1,18959000000,3880000000,20200000000,4304000000,-1241000000,0,0,917000000,11529000000,2930000000,158000000,156000000,0.09,0.09,0.08,919000000,-336000000,-661000000,-78000000,1118000000,330000000,5.2,5.53,4.87,None,0.0223,-0.71,None,18.57,4.19,1.2662,None,None,0.0367,0.61,0.34,0.9015,Q
3,2010-03-31,1736229071,1736229071,1,19362000000,4005000000,20482000000,4590000000,-1120000000,0,0,912000000,11500000000,2966000000,38000000,38000000,0.02,0.02,0.08,722000000,-1043000000,-889000000,-1210000000,1196000000,387000000,4.75,5.38,4.11,None,0.0246,-0.65,None,12.5,4.11,1.1201,None,None,0.0408,0.6,0.19,0.8725,Q
4,2009-12-31,1730195688,1730195688,1,20380000000,4614000000,21558000000,5097000000,-1178000000,0,0,911000000,12004000000,2994000000,108000000,108000000,0.06,0.06,0.08,876000000,-390000000,-154000000,332000000,2406000000,382000000,3.92,4.43,3.42,None,0.0329,-0.68,None,9.33,4.03,0.8339,None,None,0.0538,0.61,0.29,0.9052,Q
5,2009-09-30,1726624162,1726624162,1,20225000000,4347000000,21256000000,3581000000,-1031000000,0,0,888000000,13210000000,3054000000,136000000,136000000,0.08,0.08,0.08,769000000,-332000000,-159000000,278000000,2074000000,341000000,3.73,4.17,3.3,None,0.0368,-0.6,None,8.67,3.95,0.7447,None,None,0.0585,0.63,0.25,1.2139,Q
6,2009-06-30,1723796075,1723796075,1,20226000000,4048000000,21277000000,3788000000,-1051000000,0,0,885000000,13038000000,3090000000,212000000,212000000,0.12,0.12,0.08,1005000000,-348000000,598000000,1255000000,1796000000,348000000,4.12,4.87,3.36,None,0.0371,-0.61,None,9.81,3.87,0.7275,None,None,0.0582,0.64,0.38,1.0686,Q
7,2009-03-31,1720192626,1720192626,1,19711000000,2867000000,20875000000,3211000000,-1164000000,0,0,0,12755000000,3173000000,206000000,206000000,0.12,0.12,0.08,657000000,-336000000,-345000000,-24000000,541000000,334000000,3.45,4.04,2.86,None,0.0352,-0.68,None,8.85,3.79,0.7516,None,None,0.0551,0.64,0.19,0.8929,Q
8,2008-12-31,1708816425,1708816425,1,20182000000,2970000000,21631000000,3853000000,-1449000000,0,0,0,12839000000,3315000000,185000000,185000000,0.1,0.1,0.08,908000000,-350000000,-579000000,-21000000,565000000,346000000,2.85,3.66,2.05,None,0.0319,-0.85,14.25,5.94,3.71,0.8091,None,None,0.0505,0.63,0.33,0.7708,Q
9,2008-09-30,1703427297,1703427297,1,21239000000,2966000000,20893000000,4177000000,346000000,0,0,0,12815000000,3379000000,151000000,151000000,0.09,0.09,0.08,726000000,-442000000,-453000000,-169000000,586000000,466000000,3.65,4.15,3.15,None,0.0394,0.2,12.59,2.48,3.63,0.4806,37.0376,0.0163,0.0634,0.62,0.15,0.7101,Q
