,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
0,2019-03-31,216350179,216350179,1,5323749000,519399000,3918498000,323538000,1405251000,0,0,4204987000,2891495000,516753000,73979000,73979000,0.34,0.34,0.07,48409000,-110037000,-70416000,-132044000,3818000,24810000,13.11,15.58,10.63,0.335,0.0812,6.5,2.11,7.01,35.35,0.1423,2.0576,0.264,0.191,0.42,0.11,1.6054,TGNA
1,2018-12-31,215801306,215801306,1,5276842000,635222000,3935918000,369217000,1340924000,0,0,4122940000,2944466000,642136000,160815000,160815000,0.74,0.74,0.07,194549000,-22009000,-60444000,112096000,135862000,29949000,11.91,13.59,10.24,0.3452,0.0782,6.21,2.13,4.69,35.28,0.1488,2.1958,0.2541,0.1838,0.43,0.76,1.7205,TGNA
2,2018-09-30,215302010,215302010,1,5172739000,530893000,3967156000,360446000,1205583000,0,0,4130987000,2989435000,538976000,97151000,97151000,0.45,0.45,0.07,178619000,-20537000,-158819000,-737000,23766000,14417000,11.43,12.49,10.37,0.5039,0.1074,5.6,2.2,5.01,35.21,0.11,2.4797,0.2331,0.3159,0.34,0.76,1.4729,TGNA
3,2018-06-30,215266835,215266835,1,5142663000,502878000,4025752000,260937000,1116911000,0,0,4138676000,3131137000,524080000,92512000,92512000,0.43,0.43,0.07,102855000,6284000,-92974000,16165000,24503000,10221000,11.05,12.1,10.0,0.5127,0.0964,5.19,2.3,8.84,35.14,0.1221,2.8034,0.2172,0.2974,0.32,0.43,1.9272,TGNA
4,2018-03-31,215679758,215679758,1,5145329000,507295000,4108693000,272863000,1036636000,0,0,4143152000,3196070000,502090000,55187000,55187000,0.26,0.25,0.07,51186000,-338154000,167265000,-119703000,8338000,10643000,13.37,15.6,11.14,0.3203,0.0517,4.81,2.89,10.53,35.07,7.3766,3.0831,0.2015,0.1667,0.31,0.19,1.8592,TGNA
5,2017-12-31,215603092,215603092,1,4962115000,636923000,3967074000,325352000,995041000,0,0,3852686000,3007047000,170922000,303625000,303625000,1.4,1.41,0.07,35028000,22320000,-341901000,-284553000,98801000,13040000,13.05,14.51,11.59,0.236,0.045,4.62,3.98,27.19,35.0,7.3632,3.022,0.2005,0.1438,0.31,0.1,1.9576,TGNA
6,2017-09-30,215205823,215205823,1,5243056000,866730000,4537181000,632599000,705875000,0,0,3858084000,3035166000,464264000,42757000,42757000,0.2,0.19,0.07,111878000,197507000,-70462000,238923000,383354000,14143000,13.72,15.44,12.01,0.0698,0.0148,3.28,4.54,16.53,34.93,19.6691,4.2999,0.1346,0.0394,0.38,0.45,1.3701,TGNA
7,2017-06-30,215115749,215115749,1,5647732000,1266281000,4722051000,508328000,649085000,276596000,0,3863479000,3345986000,489369000,-130352000,-130352000,-0.6,-0.6,9.09,98417000,-31311000,-2330000,64776000,144431000,31744000,20.14,26.25,14.03,0.0967,0.0229,3.02,1.89,10.71,34.86,11.4172,5.1549,0.1149,0.0594,0.38,0.31,2.4911,TGNA
8,2017-03-31,214789597,214789597,1,8465011000,752255000,5841608000,608678000,2289137000,334266000,0,7054687000,3965842000,778471000,57714000,57714000,0.27,0.27,0.14,140888000,-13697000,-124456000,2735000,79655000,17959000,23.82,26.65,21.0,0.1835,0.0479,10.66,2.25,11.97,25.77,0.2938,1.7325,0.2704,0.1225,0.39,0.57,1.2359,TGNA
9,2016-12-31,214716069,214716069,1,8542725000,790688000,5943455000,619181000,2271418000,327852000,0,7080961000,4042749000,887416000,133119000,133119000,0.62,0.62,0.14,228666000,33000,-259108000,-30409000,76920000,26219000,20.63,23.25,18.02,0.1989,0.0512,10.58,2.01,10.31,25.63,0.276,1.7798,0.2659,0.1307,0.39,0.94,1.2770000000000001,TGNA
10,2016-09-30,214416511,214416511,1,8674677000,846252000,6132861000,608614000,2201495000,340321000,0,7123121000,4237894000,860265000,118683000,118683000,0.55,0.54,0.14,225519000,-168327000,-52016000,5176000,107329000,28527000,22.58,25.0,20.16,0.205,0.0523,10.27,2.25,12.27,25.49,0.3014,1.925,0.2538,0.1369,0.38,0.92,1.3905,TGNA
11,2016-06-30,214323471,214323471,1,8460615000,783411000,5998183000,514480000,2150992000,311440000,0,6973152000,4255313000,811785000,99451000,99451000,0.46,0.45,0.14,102186000,-30044000,-49195000,22947000,102153000,23601000,23.04,24.3,21.77,0.1926,0.0484,10.04,2.32,12.19,25.35,0.3259,1.9783,0.2542,0.1297,0.37,0.37,1.5227,TGNA
