,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
0,2008-06-30,1705359302,1705359302,1.0,309731000000,None,283645000000,None,22172000000,3914000000,3392000000,7284000000,0,2857000000,-3328000000,-6689000000,-6.58,-6.58,0.01,3033000000,776000000,-6663000000,-2854000000,7235000000,-18000000,None,None,None,-0.5313,-0.0191,11.01,None,None,14.26,None,0,0.0606,None,0.04,1.79,None,WAMU
1,2008-03-31,1058827858,1058827858,1.0,319668000000,None,297219000000,None,18535000000,3914000000,3392000000,7283000000,0,3744000000,-1138000000,-1203000000,-1.4,-1.4,0.15,3333000000,3642000000,-6446000000,529000000,10089000000,48000000,None,None,None,-0.1113,-0.0062,14.3,None,None,14.25,None,0,0.0474,None,0.04,3.1,None,WAMU
2,2007-12-31,882557330,882557330,1.0,327913000000,None,303329000000,None,20665000000,3919000000,3392000000,7287000000,0,3412000000,-1867000000,-1875000000,-2.2,-2.2,0.56,5130000000,-6045000000,-895000000,-1810000000,9560000000,132000000,24.57,36.07,13.07,-0.0048,-0.0002,19.57,1.02,7.98,14.1,None,0,0.0527,None,0.04,5.66,None,WAMU
3,2007-09-30,868722736,868722736,1.0,330110000000,None,306169000000,None,20996000000,2945000000,0,9062000000,0,3393000000,186000000,178000000,0.21,0.2,0.56,-1188000000,-9432000000,17823000000,7203000000,11370000000,66000000,38.13,43.68,32.57,0.1275,0.0087,24.17,1.56,10.45,13.54,0.6759,0,0.0636,0.1981,0.04,-1.44,None,WAMU
4,2007-06-30,870584006,870584006,1.0,312219000000,None,288009000000,None,21265000000,2945000000,0,9056000000,0,3792000000,830000000,822000000,0.95,0.92,0.55,3455000000,3060000000,-6395000000,120000000,4167000000,79000000,41.64,44.41,38.87,0.1474,0.0103,24.43,1.67,11.83,12.98,0.5642,0,0.0681,0.2359,0.04,3.88,None,WAMU
5,2007-03-31,888408367,888408367,1.0,319985000000,None,295407000000,None,22125000000,2453000000,0,9052000000,0,3622000000,784000000,777000000,0.89,0.86,0.54,300000000,24645000000,-27846000000,-2901000000,4047000000,44000000,42.67,45.56,39.79,0.1406,0.0098,24.9,1.55,11.72,12.43,0.5773,0,0.0691,0.2346,0.04,0.29,None,WAMU
6,2006-12-31,889034725,889034725,1.0,346288000000,None,319319000000,None,24521000000,2448000000,0,9050000000,0,3501000000,1058000000,1058000000,1.13,1.1,0.53,-8054000000,16457000000,-8104000000,299000000,6948000000,127000000,44.24,46.29,42.19,0.1462,0.0102,27.58,1.71,13.01,11.89,0.5437,0,0.0708,0.2454,0.04,-9.2,None,WAMU
7,2006-09-30,945221245,945221245,1.0,348877000000,None,322419000000,None,24499000000,1959000000,0,8368000000,0,3517000000,748000000,748000000,0.79,0.77,0.52,2212000000,1495000000,-3733000000,-26000000,6649000000,131000000,43.95,46.42,41.47,0.134,0.0097,25.92,1.75,12.38,11.36,0.5793,0,0.0702,0.2268,0.04,2.2,None,WAMU
8,2006-06-30,963488129,963488129,1.0,350884000000,None,324753000000,None,24172000000,1959000000,0,8339000000,0,3638000000,767000000,767000000,0.81,0.79,0.51,4369000000,-4704000000,1142000000,807000000,6675000000,42000000,44.5,46.48,42.53,0.1395,0.01,25.09,1.77,11.99,10.84,0.5618,0,0.0689,0.2353,0.04,4.49,None,WAMU
9,2006-03-31,960750311,960750311,1.0,348667000000,None,322511000000,None,24183000000,1973000000,0,8298000000,0,3842000000,985000000,985000000,1.01,0.98,0.5,8742000000,-13080000000,3992000000,-346000000,5868000000,141000000,43.7,45.51,41.89,0.1453,0.0104,25.17,1.57,11.68,10.33,0.5273,0,0.0694,0.2481,0.04,8.95,None,WAMU
