"acquired","bankruptcy","company","company_name","description","industry","ticker"
FALSE,FALSE,"AGILENT TECHNOLOGIES, INC. (A)","Agilent Technologies, Inc.","Agilent Technologies provides bio-analytical and electronic measurement solutions to the communications, electronics, life sciences and chemical analysis industries.","hardware","A"
FALSE,FALSE,"AMERICAN SUPERCONDUCTOR CORPORATION (AMSC)","American Superconductor Corporation","American Superconductor provides power electronics for wind turbines and power grids.","equipment,hardware","AMSC"
FALSE,FALSE,"AMERIPRISE FINANCIAL, INC. (AMP)","Ameriprise Financial, Inc.","Ameriprise provides financial planning, annuities, wealth, and asset management services.","asset management,financial company,financial services","AMP"
FALSE,FALSE,"AMGEN INC. (AMGN)","Amgen Inc.","Amgen develops, manufactures and markets medicines for serious illnesses.","health care,pharmaceuticals","AMGN"
FALSE,FALSE,"AFFILIATED MANAGERS GROUP, INC. (AMG)","Affiliated Managers Group, Inc.","Affiliated Managers Group is a global asset management company with equity investments in boutique investment management firms, which maintain operational autonomy, and receive assistance from the company in marketing and distribution.","asset management,financial company","AMG"
FALSE,FALSE,"AMETEK, INC. (AME)","Ametek, Inc.","AMETEK makes electronic instruments and electromechanical devices for the aerospace and defense, medical, mass transit, petrochemical, power and other industrial markets.","equipment,manufacturing","AME"
FALSE,FALSE,"ADVANCED MICRO DEVICES, INC. (AMD)","Advanced Micro Devices, Inc.","AMD is a semiconductor company that primarily offers x86 microprocessors as standalone central processing units (CPU) or incorporated into accelerated processing units (APU), chipsets and discrete graphics processing units (GPUs) for the consumer, commercial and professional graphics markets.","hardware","AMD"
FALSE,FALSE,"AMC NETWORKS INC. (AMCX)","Amc Networks Inc.","AMC Networks owns and operates TV programming channels including AMC, WE tv, BBC AMERICA, IFC and Sundance, in the U.S. and internationally.","media","AMCX"
FALSE,TRUE,"AMBAC FINANCIAL GROUP, INC. (AMBC)","Ambac Financial Group, Inc.","Ambac provides financial guarantees, such as credit derivative contracts, and other financial services to clients in the public and private sectors.","financial company,financial services,insurance","AMBC"
FALSE,FALSE,"APPLIED MATERIALS, INC. (AMAT)","Applied Materials, Inc.","Applied provides manufacturing equipment, services and software to the semiconductor, display, and solar photovoltaic industries.","equipment,hardware","AMAT"
