company,description,industries
"AGILENT TECHNOLOGIES, INC. (A)","Agilent Technologies provides bio-analytical and electronic measurement solutions to the communications, electronics, life sciences and chemical analysis industries.",hardware
AMERICAN SUPERCONDUCTOR CORPORATION (AMSC),American Superconductor provides power electronics for wind turbines and power grids.,"equipment,hardware"
"AMERIPRISE FINANCIAL, INC. (AMP)","Ameriprise provides financial planning, annuities, wealth, and asset management services.","asset management,financial company,financial services"
AMGEN INC. (AMGN),"Amgen develops, manufactures and markets medicines for serious illnesses.","health care,pharmaceuticals"
"AFFILIATED MANAGERS GROUP, INC. (AMG)","Affiliated Managers Group is a global asset management company with equity investments in boutique investment management firms, which maintain operational autonomy, and receive assistance from the company in marketing and distribution.","asset management,financial company"
"AMETEK, INC. (AME)","AMETEK makes electronic instruments and electromechanical devices for the aerospace and defense, medical, mass transit, petrochemical, power and other industrial markets.","equipment,manufacturing"
"ADVANCED MICRO DEVICES, INC. (AMD)","AMD is a semiconductor company that primarily offers x86 microprocessors as standalone central processing units (CPU) or incorporated into accelerated processing units (APU), chipsets and discrete graphics processing units (GPUs) for the consumer, commercial and professional graphics markets.",hardware
AMC NETWORKS INC. (AMCX),"AMC Networks owns and operates TV programming channels including AMC, WE tv, BBC AMERICA, IFC and Sundance, in the U.S. and internationally.",media
"AMBAC FINANCIAL GROUP, INC. (AMBC)","Ambac provides financial guarantees, such as credit derivative contracts, and other financial services to clients in the public and private sectors.","Bankruptcy.,financial company,financial services,insurance"
"APPLIED MATERIALS, INC. (AMAT)","Applied provides manufacturing equipment, services and software to the semiconductor, display, and solar photovoltaic industries.","equipment,hardware"
"ALEXION PHARMACEUTICALS, INC. (ALXN)","Alexion is a pharmaceutical company focused on ultra-rare life-threatening genetic disorders. Company products include Soliris, a therapeutic approved for paroxysmal nocturnal hemoglobinuria (PNH) and for atypical hemolytic uremic syndrome (aHUS); Strensiq for the treatment of Hypophosphatasia (HPP); and Kanuma for the treatment of Lysosomal Acid Lipase Deficiency (LAL-D).",pharmaceuticals
ALTERA CORPORATION (ALTR),"Acquired by Intel in 2015, Altera was a global semiconductor company providing field-programmable gate array (FPGA) products to the telecom, wireless, industrial automation, military, auto, and other markets.","Acquired.,hardware"
ALLEGION PLC (ALLE),"Allegion offers mechanical and electronic security products, such as steel doors and door frames, electronic and biometric access control systems, locks and key systems. Company brands include Falcon, LCN, Kryptonite, and Schlage.","consumer goods,equipment"
THE ALLSTATE CORPORATION (ALL),Allstate provides property-liability and life insurance in the U.S. and Canada.,"financial company,insurance"
"ALASKA AIR GROUP, INC. (ALK)","The company operates Alaska Airlines and Horizon Air, serving a route network spanning North America.",transportation
"ALIGN TECHNOLOGY, INC (ALGN)","Align designs, manufactures and markets the Invisalign System for tooth alignment therapy. The company also makes iTero oral scanners, and provides computer-aided design and manufacturing digital services used in dentistry, orthodontics, and dental records storage.",medical devices
ZOETIS INC. (ZTS),"Zoetis developes, manufactures and commercializes animal medicines and vaccines. The company had been a business unit of Pfizer for more than 60 years, prior to becoming an independent public company in 2013.",pharmaceuticals
ZIONS BANCORPORATION (ZION),"Zions provides community banking services, including business banking, commercial and residential development, construction and term lending, retail banking, residential mortgage servicing and lending, and trust and wealth management. The company operates primarily in the West and Southwest of the U.S.","banking,financial company"
"ZIMMER BIOMET HOLDINGS, INC. (ZBH)","Zimmer Biomet designs, manufactures and markets orthopaedic reconstructive products; sports medicine, biologics, extremities and trauma products; spine, bone healing, craniomaxillofacial and thoracic products; dental implants; and related surgical products.","health care,medical devices"
"YUM! BRANDS, INC. (YUM)","YUM develops, operates, franchises and licenses KFC, Pizza Hut and Taco Bell restaurants worldwide.",consumer services
YAHOO! INC. (YHOO),"Acquired by Verizon, Yahoo! generates revenue from display and search advertising on Yahoo! online properties and third-party websites.","Acquired.,internet,media"
XYLEM INC. (XYL),"Xylem designs and manufactures equipment, and provides services, for water and wastewater applications, such as filtration and treatment.","engineering and construction,equipment"
XTO ENERGY INC (XTO),"Acquired by Exxon Mobil in 2009, XTO Energy was engaged in exploration, development, and exploitation of oil and gas properties, and in the production, processing, marketing and transportation of oil and gas.","Acquired.,energy"
XEROX CORPORATION (XRX),"Xerox primarily provides business process outsourcing services, including customer care, transaction processing, finance and accounting, and human resources, and document outsourcing services, such as workflow automation and centralized print services.","business services,hardware"
DENTSPLY SIRONA INC. (XRAY),"DENTSPLY designs, manufactures and markets consumable dental products for the professional dental market around the world.",health care
