index,acquired,bankruptcy,company,company_name,description,industry,ticker
0,False,False,"AGILENT TECHNOLOGIES, INC. (A)","Agilent Technologies, Inc.","Agilent Technologies provides bio-analytical and electronic measurement solutions to the communications, electronics, life sciences and chemical analysis industries.",hardware,A
1,False,False,AMERICAN SUPERCONDUCTOR CORPORATION (AMSC),American Superconductor Corporation,American Superconductor provides power electronics for wind turbines and power grids.,"equipment,hardware",AMSC
2,False,False,"AMERIPRISE FINANCIAL, INC. (AMP)","Ameriprise Financial, Inc.","Ameriprise provides financial planning, annuities, wealth, and asset management services.","asset management,financial company,financial services",AMP
3,False,False,AMGEN INC. (AMGN),Amgen Inc.,"Amgen develops, manufactures and markets medicines for serious illnesses.","health care,pharmaceuticals",AMGN
4,False,False,"AFFILIATED MANAGERS GROUP, INC. (AMG)","Affiliated Managers Group, Inc.","Affiliated Managers Group is a global asset management company with equity investments in boutique investment management firms, which maintain operational autonomy, and receive assistance from the company in marketing and distribution.","asset management,financial company",AMG
5,False,False,"AMETEK, INC. (AME)","Ametek, Inc.","AMETEK makes electronic instruments and electromechanical devices for the aerospace and defense, medical, mass transit, petrochemical, power and other industrial markets.","equipment,manufacturing",AME
6,False,False,"ADVANCED MICRO DEVICES, INC. (AMD)","Advanced Micro Devices, Inc.","AMD is a semiconductor company that primarily offers x86 microprocessors as standalone central processing units (CPU) or incorporated into accelerated processing units (APU), chipsets and discrete graphics processing units (GPUs) for the consumer, commercial and professional graphics markets.",hardware,AMD
7,False,False,AMC NETWORKS INC. (AMCX),Amc Networks Inc.,"AMC Networks owns and operates TV programming channels including AMC, WE tv, BBC AMERICA, IFC and Sundance, in the U.S. and internationally.",media,AMCX
8,False,True,"AMBAC FINANCIAL GROUP, INC. (AMBC)","Ambac Financial Group, Inc.","Ambac provides financial guarantees, such as credit derivative contracts, and other financial services to clients in the public and private sectors.","financial company,financial services,insurance",AMBC
9,False,False,"APPLIED MATERIALS, INC. (AMAT)","Applied Materials, Inc.","Applied provides manufacturing equipment, services and software to the semiconductor, display, and solar photovoltaic industries.","equipment,hardware",AMAT
10,False,False,"ALEXION PHARMACEUTICALS, INC. (ALXN)","Alexion Pharmaceuticals, Inc.","Alexion is a pharmaceutical company focused on ultra-rare life-threatening genetic disorders. Company products include Soliris, a therapeutic approved for paroxysmal nocturnal hemoglobinuria (PNH) and for atypical hemolytic uremic syndrome (aHUS); Strensiq for the treatment of Hypophosphatasia (HPP); and Kanuma for the treatment of Lysosomal Acid Lipase Deficiency (LAL-D).",pharmaceuticals,ALXN
11,True,False,ALTERA CORPORATION (ALTR),Altera Corporation,"Acquired by Intel in 2015, Altera was a global semiconductor company providing field-programmable gate array (FPGA) products to the telecom, wireless, industrial automation, military, auto, and other markets.",hardware,ALTR
12,False,False,ALLEGION PLC (ALLE),Allegion Plc,"Allegion offers mechanical and electronic security products, such as steel doors and door frames, electronic and biometric access control systems, locks and key systems. Company brands include Falcon, LCN, Kryptonite, and Schlage.","consumer goods,equipment",ALLE
13,False,False,THE ALLSTATE CORPORATION (ALL),The Allstate Corporation,Allstate provides property-liability and life insurance in the U.S. and Canada.,"financial company,insurance",ALL
14,False,False,"ALASKA AIR GROUP, INC. (ALK)","Alaska Air Group, Inc.","The company operates Alaska Airlines and Horizon Air, serving a route network spanning North America.",transportation,ALK
15,False,False,"ALIGN TECHNOLOGY, INC (ALGN)","Align Technology, Inc","Align designs, manufactures and markets the Invisalign System for tooth alignment therapy. The company also makes iTero oral scanners, and provides computer-aided design and manufacturing digital services used in dentistry, orthodontics, and dental records storage.",medical devices,ALGN
16,False,False,ZOETIS INC. (ZTS),Zoetis Inc.,"Zoetis developes, manufactures and commercializes animal medicines and vaccines. The company had been a business unit of Pfizer for more than 60 years, prior to becoming an independent public company in 2013.",pharmaceuticals,ZTS
17,False,False,ZIONS BANCORPORATION (ZION),Zions Bancorporation,"Zions provides community banking services, including business banking, commercial and residential development, construction and term lending, retail banking, residential mortgage servicing and lending, and trust and wealth management. The company operates primarily in the West and Southwest of the U.S.","banking,financial company",ZION
18,False,False,"ZIMMER BIOMET HOLDINGS, INC. (ZBH)","Zimmer Biomet Holdings, Inc.","Zimmer Biomet designs, manufactures and markets orthopaedic reconstructive products; sports medicine, biologics, extremities and trauma products; spine, bone healing, craniomaxillofacial and thoracic products; dental implants; and related surgical products.","health care,medical devices",ZBH
19,False,False,"YUM! BRANDS, INC. (YUM)","Yum! Brands, Inc.","YUM develops, operates, franchises and licenses KFC, Pizza Hut and Taco Bell restaurants worldwide.",consumer services,YUM
20,True,False,YAHOO! INC. (YHOO),Yahoo! Inc.,"Acquired by Verizon, Yahoo! generates revenue from display and search advertising on Yahoo! online properties and third-party websites.","internet,media",YHOO
21,False,False,XYLEM INC. (XYL),Xylem Inc.,"Xylem designs and manufactures equipment, and provides services, for water and wastewater applications, such as filtration and treatment.","engineering and construction,equipment",XYL
22,True,False,XTO ENERGY INC (XTO),Xto Energy Inc,"Acquired by Exxon Mobil in 2009, XTO Energy was engaged in exploration, development, and exploitation of oil and gas properties, and in the production, processing, marketing and transportation of oil and gas.",energy,XTO
23,False,False,XEROX CORPORATION (XRX),Xerox Corporation,"Xerox primarily provides business process outsourcing services, including customer care, transaction processing, finance and accounting, and human resources, and document outsourcing services, such as workflow automation and centralized print services.","business services,hardware",XRX
24,False,False,DENTSPLY SIRONA INC. (XRAY),Dentsply Sirona Inc.,"DENTSPLY designs, manufactures and markets consumable dental products for the professional dental market around the world.",health care,XRAY
25,False,False,EXXON MOBIL CORPORATION (XOM),Exxon Mobil Corporation,"Exxon Mobil explores for and produces crude oil and natural gas,  and manufactures and markets petroleum products and commodity petrochemicals.",energy,XOM
26,False,False,"XILINX, INC. (XLNX)","Xilinx, Inc.",Xilinx designs and develops programmable integrated circuits.,hardware,XLNX
27,True,False,XL GROUP PLC (XL),Xl Group Plc,"XL Group provides property and casualty insurance and reinsurance to industrial, commercial and professional firms, insurance companies and other enterprises.","financial company,insurance",XL
28,False,False,XCEL ENERGY INC. (XEL),Xcel Energy Inc.,"Xcel Energy is a holding company whose utility subsidiaries provide electricity and natural gas in Minnesota, Wisconsin, Colorado, Michigan, New Mexico, North and South Dakota, and Texas.",utility,XEL
29,False,False,CIMAREX ENERGY CO. (XEC),Cimarex Energy Co.,"Cimarex Energy is an oil and gas exploration and production company, operating mainly in Oklahoma, Texas and New Mexico.",energy,XEC
30,False,False,UNITED STATES STEEL CORPORATION (X),United States Steel Corporation,"U. S. Steel produces flat-rolled and tubular steel products from iron ore and coke, in North America and Europe.",materials,X
31,False,False,"WYNN RESORTS, LIMITED (WYNN)","Wynn Resorts, Limited","Wynn Resorts develops, owns and operates destination casino resorts that integrate hotel accommodations with dining outlets, premium retail, entertainment theaters and meeting complexes.",consumer services,WYNN
32,False,False,"WYNDHAM DESTINATIONS, INC. (WYND)","Wyndham Destinations, Inc.",Wyndham Destinations is a vacation ownership and exchange company with presence in over 100 countries.,consumer services,WYND
33,True,False,WYETH (WYE),Wyeth,"Acquired by Pfizer in 2009, Wyeth engaged in the discovery, development, manufacture, distribution and sale of pharmaceutical, consumer healthcare, and animal health products.","health care,pharmaceuticals",WYE
34,False,False,WEYERHAEUSER COMPANY (WY),Weyerhaeuser Company,"Weyerhaeuser grows and harvests trees, and manufactures and sells building products, pulp and paper.",materials,WY
35,True,False,WM. WRIGLEY JR. COMPANY (WWY),Wm. Wrigley Jr. Company,"Acquired by Mars, Incorporated in 2008, The Wm. Wrigley Jr. Company manufactured and marketed chewing gum and other confectionery products worldwide.",consumer goods,WWY
36,False,False,THE WESTERN UNION COMPANY (WU),The Western Union Company,"Western Union provides global money movement and payment services, primarily consumer-to-consumer money transfers, as well as consumer-to-business bill payments. The company also provides foreign exchange and cross-border, cross-currency transaction services for businesses and individuals.",consumer services,WU
37,False,False,WESTROCK COMPANY (WRK),Westrock Company,"WestRock manufactures containerboard and paperboard, and makes packaging solutions.",manufacturing,WRK
38,False,False,"WPX ENERGY, INC. (WPX)","Wpx Energy, Inc.",WPX is an oil and gas exploration and production company engaged in the exploitation of long-life unconventional properties in North Dakota and in the southwestern U.S..,energy,WPX
39,False,False,"WAL-MART STORES, INC. (WMT)","Wal-Mart Stores, Inc.","Wal-Mart operates retail stores, warehouse clubs and e-commerce websites around the world. The company strategy is to lead on price.",retail,WMT
40,False,False,"THE WILLIAMS COMPANIES, INC. (WMB)","The Williams Companies, Inc.","Williams is primarily a U.S. based operator of interstate gas pipelines, and provider of natural gas and natural gas liquids gathering, treatment, processing and compression services.",energy,WMB
41,False,True,"WASHINGTON MUTUAL, INC. (WM)","Washington Mutual, Inc.","Washington Mutual filed for bankruptcy in 2008. Prior to the bankruptcy, the company had been a consumer and small business banking company in the U.S.","banking,financial company",WM
42,False,False,"WASTE MANAGEMENT, INC. (WM)","Waste Management, Inc.","Waste Management provides waste collection, transfer, recycling and disposal services in North America. The company owns a number of landfill sites and landfill gas-to-energy facilities.","business services,consumer services",WM
43,False,False,WILLIS TOWERS WATSON PLC (WLTW),Willis Towers Watson Plc,"Willis Towers Watson provides property and liability insurance brokerage services, reinsurance, and employee benefits brokerage and consulting services.","business services,financial company,insurance",WLTW
44,False,True,"WINDSTREAM HOLDINGS, INC. (WINMQ)","Windstream Holdings, Inc.","Windstream provides broadband communications, voice and digital television to consumers in the U.S., as well as data, cloud solutions, unified communications and managed services to small business and enterprise clients.",telecommunications,WINMQ
