"acquired","bankruptcy","company","company_name","description","ticker","industry_n","industry"
FALSE,FALSE,"AGILENT TECHNOLOGIES, INC. (A)","Agilent Technologies, Inc.","Agilent Technologies provides bio-analytical and electronic measurement solutions to the communications, electronics, life sciences and chemical analysis industries.","A","industry_1","hardware"
FALSE,FALSE,"AMERICAN SUPERCONDUCTOR CORPORATION (AMSC)","American Superconductor Corporation","American Superconductor provides power electronics for wind turbines and power grids.","AMSC","industry_1","equipment"
FALSE,FALSE,"AMERIPRISE FINANCIAL, INC. (AMP)","Ameriprise Financial, Inc.","Ameriprise provides financial planning, annuities, wealth, and asset management services.","AMP","industry_1","asset management"
FALSE,FALSE,"AMGEN INC. (AMGN)","Amgen Inc.","Amgen develops, manufactures and markets medicines for serious illnesses.","AMGN","industry_1","health care"
FALSE,FALSE,"AFFILIATED MANAGERS GROUP, INC. (AMG)","Affiliated Managers Group, Inc.","Affiliated Managers Group is a global asset management company with equity investments in boutique investment management firms, which maintain operational autonomy, and receive assistance from the company in marketing and distribution.","AMG","industry_1","asset management"
FALSE,FALSE,"AMETEK, INC. (AME)","Ametek, Inc.","AMETEK makes electronic instruments and electromechanical devices for the aerospace and defense, medical, mass transit, petrochemical, power and other industrial markets.","AME","industry_1","equipment"
FALSE,FALSE,"ADVANCED MICRO DEVICES, INC. (AMD)","Advanced Micro Devices, Inc.","AMD is a semiconductor company that primarily offers x86 microprocessors as standalone central processing units (CPU) or incorporated into accelerated processing units (APU), chipsets and discrete graphics processing units (GPUs) for the consumer, commercial and professional graphics markets.","AMD","industry_1","hardware"
FALSE,FALSE,"AMC NETWORKS INC. (AMCX)","Amc Networks Inc.","AMC Networks owns and operates TV programming channels including AMC, WE tv, BBC AMERICA, IFC and Sundance, in the U.S. and internationally.","AMCX","industry_1","media"
FALSE,TRUE,"AMBAC FINANCIAL GROUP, INC. (AMBC)","Ambac Financial Group, Inc.","Ambac provides financial guarantees, such as credit derivative contracts, and other financial services to clients in the public and private sectors.","AMBC","industry_1","financial company"
FALSE,FALSE,"APPLIED MATERIALS, INC. (AMAT)","Applied Materials, Inc.","Applied provides manufacturing equipment, services and software to the semiconductor, display, and solar photovoltaic industries.","AMAT","industry_1","equipment"
FALSE,FALSE,"ALEXION PHARMACEUTICALS, INC. (ALXN)","Alexion Pharmaceuticals, Inc.","Alexion is a pharmaceutical company focused on ultra-rare life-threatening genetic disorders. Company products include Soliris, a therapeutic approved for paroxysmal nocturnal hemoglobinuria (PNH) and for atypical hemolytic uremic syndrome (aHUS); Strensiq for the treatment of Hypophosphatasia (HPP); and Kanuma for the treatment of Lysosomal Acid Lipase Deficiency (LAL-D).","ALXN","industry_1","pharmaceuticals"
TRUE,FALSE,"ALTERA CORPORATION (ALTR)","Altera Corporation","Acquired by Intel in 2015, Altera was a global semiconductor company providing field-programmable gate array (FPGA) products to the telecom, wireless, industrial automation, military, auto, and other markets.","ALTR","industry_1","hardware"
FALSE,FALSE,"ALLEGION PLC (ALLE)","Allegion Plc","Allegion offers mechanical and electronic security products, such as steel doors and door frames, electronic and biometric access control systems, locks and key systems. Company brands include Falcon, LCN, Kryptonite, and Schlage.","ALLE","industry_1","consumer goods"
FALSE,FALSE,"THE ALLSTATE CORPORATION (ALL)","The Allstate Corporation","Allstate provides property-liability and life insurance in the U.S. and Canada.","ALL","industry_1","financial company"
FALSE,FALSE,"ALASKA AIR GROUP, INC. (ALK)","Alaska Air Group, Inc.","The company operates Alaska Airlines and Horizon Air, serving a route network spanning North America.","ALK","industry_1","transportation"
FALSE,FALSE,"ALIGN TECHNOLOGY, INC (ALGN)","Align Technology, Inc","Align designs, manufactures and markets the Invisalign System for tooth alignment therapy. The company also makes iTero oral scanners, and provides computer-aided design and manufacturing digital services used in dentistry, orthodontics, and dental records storage.","ALGN","industry_1","medical devices"
FALSE,FALSE,"ZOETIS INC. (ZTS)","Zoetis Inc.","Zoetis developes, manufactures and commercializes animal medicines and vaccines. The company had been a business unit of Pfizer for more than 60 years, prior to becoming an independent public company in 2013.","ZTS","industry_1","pharmaceuticals"
FALSE,FALSE,"ZIONS BANCORPORATION (ZION)","Zions Bancorporation","Zions provides community banking services, including business banking, commercial and residential development, construction and term lending, retail banking, residential mortgage servicing and lending, and trust and wealth management. The company operates primarily in the West and Southwest of the U.S.","ZION","industry_1","banking"
FALSE,FALSE,"ZIMMER BIOMET HOLDINGS, INC. (ZBH)","Zimmer Biomet Holdings, Inc.","Zimmer Biomet designs, manufactures and markets orthopaedic reconstructive products; sports medicine, biologics, extremities and trauma products; spine, bone healing, craniomaxillofacial and thoracic products; dental implants; and related surgical products.","ZBH","industry_1","health care"
FALSE,FALSE,"YUM! BRANDS, INC. (YUM)","Yum! Brands, Inc.","YUM develops, operates, franchises and licenses KFC, Pizza Hut and Taco Bell restaurants worldwide.","YUM","industry_1","consumer services"
TRUE,FALSE,"YAHOO! INC. (YHOO)","Yahoo! Inc.","Acquired by Verizon, Yahoo! generates revenue from display and search advertising on Yahoo! online properties and third-party websites.","YHOO","industry_1","internet"
FALSE,FALSE,"XYLEM INC. (XYL)","Xylem Inc.","Xylem designs and manufactures equipment, and provides services, for water and wastewater applications, such as filtration and treatment.","XYL","industry_1","engineering and construction"
TRUE,FALSE,"XTO ENERGY INC (XTO)","Xto Energy Inc","Acquired by Exxon Mobil in 2009, XTO Energy was engaged in exploration, development, and exploitation of oil and gas properties, and in the production, processing, marketing and transportation of oil and gas.","XTO","industry_1","energy"
FALSE,FALSE,"XEROX CORPORATION (XRX)","Xerox Corporation","Xerox primarily provides business process outsourcing services, including customer care, transaction processing, finance and accounting, and human resources, and document outsourcing services, such as workflow automation and centralized print services.","XRX","industry_1","business services"
FALSE,FALSE,"DENTSPLY SIRONA INC. (XRAY)","Dentsply Sirona Inc.","DENTSPLY designs, manufactures and markets consumable dental products for the professional dental market around the world.","XRAY","industry_1","health care"
FALSE,FALSE,"EXXON MOBIL CORPORATION (XOM)","Exxon Mobil Corporation","Exxon Mobil explores for and produces crude oil and natural gas,  and manufactures and markets petroleum products and commodity petrochemicals.","XOM","industry_1","energy"
FALSE,FALSE,"XILINX, INC. (XLNX)","Xilinx, Inc.","Xilinx designs and develops programmable integrated circuits.","XLNX","industry_1","hardware"
TRUE,FALSE,"XL GROUP PLC (XL)","Xl Group Plc","XL Group provides property and casualty insurance and reinsurance to industrial, commercial and professional firms, insurance companies and other enterprises.","XL","industry_1","financial company"
FALSE,FALSE,"XCEL ENERGY INC. (XEL)","Xcel Energy Inc.","Xcel Energy is a holding company whose utility subsidiaries provide electricity and natural gas in Minnesota, Wisconsin, Colorado, Michigan, New Mexico, North and South Dakota, and Texas.","XEL","industry_1","utility"
FALSE,FALSE,"CIMAREX ENERGY CO. (XEC)","Cimarex Energy Co.","Cimarex Energy is an oil and gas exploration and production company, operating mainly in Oklahoma, Texas and New Mexico.","XEC","industry_1","energy"
FALSE,FALSE,"UNITED STATES STEEL CORPORATION (X)","United States Steel Corporation","U. S. Steel produces flat-rolled and tubular steel products from iron ore and coke, in North America and Europe.","X","industry_1","materials"
FALSE,FALSE,"WYNN RESORTS, LIMITED (WYNN)","Wynn Resorts, Limited","Wynn Resorts develops, owns and operates destination casino resorts that integrate hotel accommodations with dining outlets, premium retail, entertainment theaters and meeting complexes.","WYNN","industry_1","consumer services"
FALSE,FALSE,"WYNDHAM DESTINATIONS, INC. (WYND)","Wyndham Destinations, Inc.","Wyndham Destinations is a vacation ownership and exchange company with presence in over 100 countries.","WYND","industry_1","consumer services"
TRUE,FALSE,"WYETH (WYE)","Wyeth","Acquired by Pfizer in 2009, Wyeth engaged in the discovery, development, manufacture, distribution and sale of pharmaceutical, consumer healthcare, and animal health products.","WYE","industry_1","health care"
FALSE,FALSE,"WEYERHAEUSER COMPANY (WY)","Weyerhaeuser Company","Weyerhaeuser grows and harvests trees, and manufactures and sells building products, pulp and paper.","WY","industry_1","materials"
TRUE,FALSE,"WM. WRIGLEY JR. COMPANY (WWY)","Wm. Wrigley Jr. Company","Acquired by Mars, Incorporated in 2008, The Wm. Wrigley Jr. Company manufactured and marketed chewing gum and other confectionery products worldwide.","WWY","industry_1","consumer goods"
FALSE,FALSE,"THE WESTERN UNION COMPANY (WU)","The Western Union Company","Western Union provides global money movement and payment services, primarily consumer-to-consumer money transfers, as well as consumer-to-business bill payments. The company also provides foreign exchange and cross-border, cross-currency transaction services for businesses and individuals.","WU","industry_1","consumer services"
FALSE,FALSE,"WESTROCK COMPANY (WRK)","Westrock Company","WestRock manufactures containerboard and paperboard, and makes packaging solutions.","WRK","industry_1","manufacturing"
FALSE,FALSE,"WPX ENERGY, INC. (WPX)","Wpx Energy, Inc.","WPX is an oil and gas exploration and production company engaged in the exploitation of long-life unconventional properties in North Dakota and in the southwestern U.S..","WPX","industry_1","energy"
